Sunspot positions and areas from observations by Galileo Galilei defined by Vokhmyanin, Arlt, and Zolotova (in Solar Physics 2020).

Method I: sunspot positions are defined according to the time of observation reported by the observer (Hor).

Draw - Number of drawing;
Place - Location of the observer;
YYYY - Year;
MM - Month;
DD - Day;
HH - UT Hour (Time of observation defined by means of Method I);
MI- Minute (Time of observation defined by means of Method I);
G_Har - Number of sunspot group according to numeration assigned by us in the Harriot’s observations (Sunspot positions and areas from observations by Thomas Harriot defined by Vokhmyanin, Arlt, and Zolotova, Solar Physics 2020, v. 295:39; https://doi.org/10.1007/s11207-020-01604-4);
G - Arbitrary number of sunspot group;
Sp - Arbitrary number of sunspot;
BBB.BB - Heliographic latitude. Southern latitudes are negative;
LLL.LL - Heliographic longitude in the Carrington rotation frame;
B0 - Heliographic latitude of apparent disk center;
L0 - Heliographic longitude of apparent disk center;
P - Position angle;
Rot - Rotation angle of solar image in x-y plane;
q - Parallactic angle;
Alt - Altitude;
Azm - Azimuth;
Area_w - Area of the whole sunspot in millionths of the solar hemisphere (msh);
Area_u - Area of umbra in millionths of the solar hemisphere (msh);
Area_p - Area of penumbra in millionths of the solar hemisphere (msh), negative values indicate that several umbrae have a common penumbra, e.g. -203 means that the given umbra shares a penumbra with umbra No.203;
alpha - Angular distance on the surface of the Sun from the center of the disk to the area-weighted position of the object;
Hor - Time of observation noted by the observer in hours after sunset;
HH_rise and MI_rise - Time of sunrise in UT Hour and Minute;
HH_set and MI_set - Time of sunset in UT Hour and Minute.




Draw	Place	YYYY	MM	DD	HH	MI	G_Har	G	Sp	BBB.BB	LLL.LL	B0	L0	P	Rot	q	Alt	Azm	Area_w	Area_u	Area_p	alpha	Hor	HH_rise	MI_rise	HH_set	MI_set	Comment
1	Villa delle Selve 	1612	2	12 	16	6	37	1	1	18.37	60.38	-6.93	59.43	-17.11	-59.65	42.54	5.09	245.43	593	NaN	NaN	25.32	sunset			6	28	16	33	
1	Villa delle Selve 	1612	2	12 	16	6	38	2	2	20.07	42.83	-6.93	59.43	-17.11	-59.65	42.54	5.09	245.43	444	NaN	NaN	31.55	sunset			6	28	16	33	
1	Villa delle Selve 	1612	2	12 	16	6	40	3	3	-15.55	41.19	-6.93	59.43	-17.11	-59.65	42.54	5.09	245.43	520	NaN	NaN	19.83	sunset			6	28	16	33	
																														
2	Villa delle Selve 	1612	2	17	15	43	41	4	4	4.91	331.85	-7.09	353.79	-18.81	-59.68	40.87	10.05	242.4	820	NaN	NaN	24.97	sunset			6	21	16	40	
																														
3	Villa delle Selve 	1612	2	23	15	51	41	4	4	8.13	321.42	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	789	NaN	NaN	49.06	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	42	5	5	10.7	265.26	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	648	NaN	NaN	20.22	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	43	6	6	2.52	242.33	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	992	NaN	NaN	33.72	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	43	6	7	-1.09	231.81	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	962	NaN	NaN	43.17	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	44	7	8	-5.34	280.14	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	246	NaN	NaN	5.74	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	44	7	9	-7.72	268.71	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	391	NaN	NaN	5.94	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	45	8	10	-8.18	241.08	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	197	NaN	NaN	33.3	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	46	9	11	-13.71	228.56	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	631	NaN	NaN	45.75	NaN			6	11	16	48	
3	Villa delle Selve 	1612	2	23	15	51	NaN	10	12	-40.13	215.1	-7.21	274.68	-20.66	-62.49	41.82	10.25	245.47	761	NaN	NaN	62.3	NaN			6	11	16	48	
																														
NaN	Villa delle Selve 	1612	3	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			NaN	NaN	NaN	NaN	1 March, at sunrise, there was a sunspot (or sunspots).
																														
NaN	Villa delle Selve 	1612	3	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			NaN	NaN	NaN	NaN	2 March, at sunrise, there was not sunspot.
																														
NaN	Villa delle Selve 	1612	3	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN			NaN	NaN	NaN	NaN	13 March, there was not sunspot.
																														
4	Villa delle Selve 	1612	3	16	17	9	56	11	13	-22.46	296.77	-6.96	344.03	-25.47	-71.6	46.12	1.81	266.31	845	NaN	NaN	48.03	sunset			5	33	17	16	16 March, at sunset, there was one sunspot. 
4	Villa delle Selve 	1612	3	16	17	9	56	11	14	-25.13	294.62	-6.96	344.03	-25.47	-71.6	46.12	1.81	266.31	1003	NaN	NaN	50.49	sunset			5	33	17	16	
																														
5	Villa delle Selve 	1612	3	17	6	28	56	11	13	-18.25	285.11	-6.94	336.72	-25.55	19.39	-44.94	10.6	102.03	972	NaN	NaN	51.57	sunrise			5	31	17	17	Image rotated 40 degrees.
5	Villa delle Selve 	1612	3	17	6	28	NaN	12	15	15.97	10.01	-6.94	336.72	-25.55	19.39	-44.94	10.6	102.03	741	NaN	NaN	40.06	sunrise			5	31	17	17	On this day, latitudes and longitudes of sunspots are far from valid for this Method. Please, use Method II.
5	Villa delle Selve 	1612	3	17	6	28	54	13	16	12.94	330.97	-6.94	336.72	-25.55	19.39	-44.94	10.6	102.03	370	NaN	NaN	20.64	sunrise			5	31	17	17	
5	Villa delle Selve 	1612	3	17	6	28	55	14	17	3.37	318.15	-6.94	336.72	-25.55	19.39	-44.94	10.6	102.03	458	NaN	NaN	21.28	sunrise			5	31	17	17	
																														
6	Villa delle Selve 	1612	3	18	6	27	56	11	13	-19.44	284.79	-6.91	323.54	-25.69	19.33	-45.02	10.75	101.62	1107	NaN	NaN	39.68	sunrise			5	29	17	18	Image rotated 35 degrees.
6	Villa delle Selve 	1612	3	18	6	27	NaN	12	15	8.64	15.61	-6.91	323.54	-25.69	19.33	-45.02	10.75	101.62	923	NaN	NaN	54.14	sunrise			5	29	17	18	On this day, latitudes and longitudes of sunspots are far from valid for this Method. Please, use Method II.
6	Villa delle Selve 	1612	3	18	6	27	54	13	16	5.94	336.1	-6.91	323.54	-25.69	19.33	-45.02	10.75	101.62	947	NaN	NaN	17.91	sunrise			5	29	17	18	
6	Villa delle Selve 	1612	3	18	6	27	55	14	17	-0.38	322.4	-6.91	323.54	-25.69	19.33	-45.02	10.75	101.62	818	NaN	NaN	6.66	sunrise			5	29	17	18	
																														
7	Villa delle Selve 	1612	3	20	16	27	56	11	13	-30.44	275.82	-6.81	291.67	-25.99	-71.37	45.38	10.21	260.29	662	NaN	NaN	27.92	sunrise			5	26	17	21	
7	Villa delle Selve 	1612	3	20	16	27	57	15	18	12.89	234.46	-6.81	291.67	-25.99	-71.37	45.38	10.21	260.29	1118	NaN	NaN	60.15	sunrise			5	26	17	21	
7	Villa delle Selve 	1612	3	20	16	27	57	15	19	15.71	231.54	-6.81	291.67	-25.99	-71.37	45.38	10.21	260.29	643	NaN	NaN	63.64	sunrise			5	26	17	21	
																														
8	Villa delle Selve 	1612	3	21	6	21	56	11	13	-41.55	286.33	-6.78	284.03	-26.05	19.3	-45.35	10.69	99.86	441	NaN	NaN	34.83	sunset			5	24	17	22	
8	Villa delle Selve 	1612	3	21	6	21	57	15	18	12.76	236.18	-6.78	284.03	-26.05	19.3	-45.35	10.69	99.86	248	NaN	NaN	51.4	sunset			5	24	17	22	
8	Villa delle Selve 	1612	3	21	6	21	57	15	19	15.82	235.31	-6.78	284.03	-26.05	19.3	-45.35	10.69	99.86	802	NaN	NaN	53.26	sunset			5	24	17	22	
																														
9	Villa delle Selve 	1612	3	31	17	1	57	15	19	14.94	186.56	-6.21	146.23	-26.83	-73.24	46.41	6.46	270	777	NaN	NaN	45.22	sunset			5	6	17	34	
9	Villa delle Selve 	1612	3	31	17	1	57	15	22	16.72	193.14	-6.21	146.23	-26.83	-73.24	46.41	6.46	270	756	NaN	NaN	51.73	sunset			5	6	17	34	
9	Villa delle Selve 	1612	3	31	17	1	59	16	20	-11.3	150.52	-6.21	146.23	-26.83	-73.24	46.41	6.46	270	663	NaN	NaN	6.62	sunset			5	6	17	34	
9	Villa delle Selve 	1612	3	31	17	1	60	17	21	-28.12	166.74	-6.21	146.23	-26.83	-73.24	46.41	6.46	270	569	NaN	NaN	29.28	sunset			5	6	17	34	
9	Villa delle Selve 	1612	3	31	17	1	60	17	23	-23.45	171.46	-6.21	146.23	-26.83	-73.24	46.41	6.46	270	321	NaN	NaN	29.76	sunset			5	6	17	34	
																														
10	Villa delle Selve 	1612	4	3	17	37	59	16	20	23.73	154.97	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	1055	NaN	NaN	56	sunset			5	0	17	37	Comparison of observations by Harriot and Galilei on 3 Arp 1612 suggests to us that sunspot group G16 in Galilei’s report was drawn incorrectly. Most likely, this spot was in the southern hemisphere.
10	Villa delle Selve 	1612	4	3	17	37	59	16	26	21.45	147.12	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	9	NaN	NaN	48.53	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	59	16	27	24.4	147.09	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	400	NaN	NaN	50.02	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	59	16	28	27.1	149.72	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	40	NaN	NaN	53.46	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	60	17	21	-11.44	155.92	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	827	NaN	NaN	49.28	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	24	-9.11	107.68	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	1645	NaN	NaN	3.38	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	29	-12.97	100.91	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	56	NaN	NaN	8.76	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	30	-9.44	98.87	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	194	NaN	NaN	8.13	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	31	-9.79	100.79	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	84	NaN	NaN	6.64	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	32	-6.34	96.58	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	10	NaN	NaN	9.67	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	33	-3.27	98.76	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	291	NaN	NaN	8	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	61	18	34	-1.94	101.94	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	28	NaN	NaN	5.97	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	62	19	25	9.11	54.71	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	1085	NaN	NaN	53.61	sunset			5	0	17	37	
10	Villa delle Selve 	1612	4	3	17	37	62	19	35	12.61	43.54	-6.01	106.31	-26.9	-72.94	46.04	0.62	277.21	581	NaN	NaN	65.09	sunset			5	0	17	37	
																														
11	Villa delle Selve 	1612	4	5	16	53	61	18	24	-20.74	95.55	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	923	NaN	NaN	20.96	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	36	-15.1	93.46	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	48	NaN	NaN	15.87	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	37	-17.51	91.84	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	101	NaN	NaN	16.2	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	38	-15.82	90.89	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	97	NaN	NaN	14.38	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	39	-16.86	87.09	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	155	NaN	NaN	12.84	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	40	-19.7	88.7	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	204	NaN	NaN	16.06	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	41	-21.71	90.14	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	114	NaN	NaN	18.47	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	61	18	42	-23.39	91.65	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	52	NaN	NaN	20.64	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	62	19	25	8.2	62.57	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	1227	NaN	NaN	22.61	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	63	20	43	16.97	84.35	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	23	NaN	NaN	23.18	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	63	20	44	14.87	84.83	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	65	NaN	NaN	21.22	sunset			4	57	17	39	
11	Villa delle Selve 	1612	4	5	16	53	63	20	45	14.42	87.09	-5.87	80.31	-26.92	-73.52	46.6	8.94	270.28	128	NaN	NaN	21.38	sunset			4	57	17	39	
