Supplementary data 2 of Hayakawa et al. (2021, The Astrophysical Journal, 919, 1) 'Stephan Prantner’s Sunspot Observations during the Dalton Minimum'. The sunspot positions have been extracted from MS A07 03 07 in Stiftsarchiv Wilten.

Reference:
Hayakawa et al. (2021) Stephan Prantner’s Sunspot Observations during the Dalton Minimum, The Astrophysical Journal, DOI: 10.3847/1538-4357/abee1b

Abb. Meaning
------------------------------------------------------------------
Folio - Folio number for the said sunspot drawing;
YYYY - Year;
MM - Month;
DD - Date;
HH - Hour of the observational time in local time;
Element - arbitrary number for individual sunspots
BB - Heliographic latitude
LL - Calculated Carrington longitude
AREA - Individual sunspot area (msh)
TOYAL AREA - Total sunspot area for the day (msh)
LCM - Heliographic longitude from the central meridian.

The data blank shows the gap of observational data for the specified observational date.
------------------------------------------------------------------




       Folio        YYYY          MM          DD          HH     ELEMENT          BB          LL        AREA  TOTAL_AREA         LCM
          18        1812          12          24         012         E04       11.98      167.96         112        3696        13.4
          18        1812          12          24         012         E05       12.38      175.23        1041        3696        20.6
          18        1812          12          24         012         E06       12.37      170.32          90        3696        15.6
          18        1812          12          24         012         E07       15.08      168.41         667        3696        13.0
          19        1812          12          27         012         E01       15.54      160.56         610        1104        47.2
          19        1812          12          27         012         E02       19.13      160.59         494        1104        46.8
          19        1812          12          28         012         E01       15.25      165.43         816        1491        67.2
          19        1812          12          28         012         E02       17.12      161.33         675        1491        62.6
          20        1813          02          05         011         E01        8.33      273.77         803         803       -16.8
          20        1813          02          06         012         E01        7.86      268.69         666         666        -9.7
          21        1813          04          11         009         E01        4.68      183.56        1775        2236         4.1
          21        1813          04          11         009         E02        8.63      182.38         175        2236         0.3
          21        1813          04          11         009         E03        1.89      205.19         286        2236        24.1
          22        1813          04          14         009         E01        1.57      166.97         737         737        24.2
          23        1813          05          12         009         E01      -20.15       53.23         754         754       -58.2
          24        1813          05          15         008         E01      -11.03       54.93         284        2711       -15.9
          24        1813          05          15         008         E02       13.87       75.03         102        2711       -11.0
          24        1813          05          15         008         E03       15.64       71.34          66        2711       -15.1
          24        1813          05          15         008         E04       14.98       73.33          51        2711       -13.1
          24        1813          05          15         008         E05       13.73       78.03         140        2711        -8.4
