YYYY MM DD HH MI T  Book_num Image_num     LO    BO W_limb E_limb X_diaa X_diab Y_dia spt_Xa spt_Xb spt_Y   CMD LLL.L BBB.B   N S  In  Ob Rdr D C
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 09  7.14  -2.8 260.6  -1.8   e 0  RM  PH CSJ t 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 11 10.50 -16.8 246.6  24.4   o 0  RM  PH CSJ t 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 13 10.50 -18.5 244.8  23.7   n 0  RM  PH CSJ t 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 15 11.05 -23.3 240.1  27.8   p 0  RM  PH CSJ t 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 22  2.68 -30.0 233.4  25.9   u 1  RM  PH CSJ b 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 23  2.52 -32.0 231.3  26.9   x 1  RM  PH CSJ b 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 25  2.68 -32.8 230.6  24.8   q 1  RM  PH CSJ b 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 28  6.35 -19.3 244.1  -5.7   b 1  RM  PH CSJ b 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 01 47  7.38 -37.1 226.3 -12.0   h 0  RM  PH CSJ t 0
1761 05 09 10 56 1  book1 IMG_6985b.jpg 263.4  -2.9 025500 025713 02 13 13.79 02 07  7.14 -65.1 198.3 -19.7   w 0  RM  PH CSJ t 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 00 02  6.28  76.5 234.0  13.3   n 0  RM  PH CSJ t 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 00 05  7.14  65.9 223.3  17.2   p 1  RM  PH CSJ b 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 00 05  7.46  66.6 224.0  14.6   o 1  RM  PH CSJ b 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 00 06  7.20  63.2 220.7  18.9   q 0  RM  PH CSJ t 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 00 31  3.38  46.1 203.5 -18.9   w 0  RM  PH CSJ t 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 00 56  9.88  18.0 175.5 -20.8   m 1  RM  PH CSJ b 0
1761 05 17 11 04 1  book1 IMG_6992b.jpg 157.5  -2.0 033435 033648 02 13 14.07 01 48 10.16 -48.7 108.7  10.2   x 0  RM  PH CSJ t 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 00 03  7.89  72.3 216.5  14.3   q 0  RM  PH CSJ b 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 00 23 11.42  58.3 202.6 -18.3   w 0  RM  PH CSJ b 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 00 48 11.28  30.0 174.3 -25.7   m 1  RM  PH CSJ b 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 01 37  5.00 -32.2 112.0   6.8   x 0  RM  PH CSJ b 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 01 42  5.69 -34.6 109.6   0.2   1 1  RM  PH CSJ b 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 01 54  3.15 -63.0  81.3  16.3   z 0  RM  PH CSJ b 0
1761 05 18 11 04 1  book1 IMG_6994b.jpg 144.2  -1.9 033911 034125 02 14 14.67 02 09  8.21 -67.3  76.9 -26.2   y 0  RM  PH CSJ b 0
1761 05 20 11 04 1  book1 IMG_6996b.jpg 117.8  -1.6 034643 034858 02 15 14.67 01 13  5.71  -8.8 109.0   8.8   x 0  RM  PH CSJ b 0
1761 05 20 11 04 1  book1 IMG_6996b.jpg 117.8  -1.6 034643 034858 02 15 14.67 01 15  6.48  -8.3 109.5   2.6   2 1  RM  PH CSJ b 0
1761 05 20 11 04 1  book1 IMG_6996b.jpg 117.8  -1.6 034643 034858 02 15 14.67 01 40  3.83 -39.5  78.2  15.6   z 0  RM  PH CSJ b 0
1761 05 20 11 04 1  book1 IMG_6996b.jpg 117.8  -1.6 034643 034858 02 15 14.67 01 57  9.13 -44.5  73.3 -29.6   y 0  RM  PH CSJ b 0
1761 05 20 11 04 1  book1 IMG_6996b.jpg 117.8  -1.6 034643 034858 02 15 14.67 02 04  6.40 -57.6  60.1 -10.0   v 0  RM  PH CSJ b 0
1761 05 20 11 04 1  book1 IMG_6996b.jpg 117.8  -1.6 034643 034858 02 15 14.67 02 12  6.77 -73.3  44.4 -14.7   1 1  RM  PH CSJ b 0
1761 05 23 10 09 1  book1 IMG_6998.jpg   78.6  -1.3 030333 030548 02 15 14.76 01 28  7.74 -16.0  62.6  -9.4   v 0  MP   R CSJ b 0
1761 05 23 10 09 1  book1 IMG_6998.jpg   78.6  -1.3 030333 030548 02 15 14.76 01 38  7.95 -24.6  54.0 -13.7   g 0  MP   R CSJ b 0
1761 05 23 10 09 1  book1 IMG_6998.jpg   78.6  -1.3 030333 030548 02 15 14.76 02 02  6.40 -54.7  23.9  -8.2   f 0  MP   R CSJ b 0
1761 05 23 10 09 1  book1 IMG_6998.jpg   78.6  -1.3 030333 030548 02 15 14.76 02 09  5.39 -71.9   6.7  -2.3   s 0  MP   R CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 00 31 10.30  40.9 119.0 -12.7   x 0  RM  PH CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 00 58  5.36   2.8  80.9  16.4   z 0  RM  PH CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 01 20 10.41  -2.9  75.1 -27.9   y 0  RM  PH CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 01 28  7.74 -16.0  62.0  -9.4   v 0  RM  PH CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 01 42  8.74 -27.1  51.0 -20.8   g 1  RM  PH CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 01 57  6.64 -47.4  30.7  -8.8   f 1  RM  PH CSJ b 0
1761 05 23 11 03 1  book1 IMG_6998.jpg   78.1  -1.3 035808 040023 02 15 14.76 02 05  5.79 -61.5  16.6  -4.4   s 1  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 00 11  8.39  57.2 108.8   7.8   x 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 00 31  6.47  29.5  81.1  16.4   z 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 00 40  6.59  21.1  72.7  13.0   1 1  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 00 56 11.60  22.0  73.6 -28.7   y 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 00 58  8.94  11.2  62.8  -8.9   v 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 01 08  8.71   2.4  54.0  -9.9   g 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 01 53  6.04 -44.6   7.0  -1.9   f 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 02 04  5.77 -60.3 351.3  -2.5   s 0  RM  PH CSJ b 0
1761 05 25 11 03 1  book1 IMG_6999b.jpg  51.6  -1.0 040547 040802 02 15 15.03 02 11  8.04 -69.6 342.0 -21.1   k 1  RM  PH CSJ b 0
1761 05 26 10 50 1  book1 IMG_7000b.jpg  38.5  -0.9 035602 035820 02 18 15.00 00 05  8.66  69.8 108.3   7.2   x 0  MP  PH CSJ b 0
1761 05 26 10 50 1  book1 IMG_7000b.jpg  38.5  -0.9 035602 035820 02 18 15.00 00 47  9.61  23.3  61.8 -10.8   v 0  MP  PH CSJ b 0
1761 05 26 10 50 1  book1 IMG_7000b.jpg  38.5  -0.9 035602 035820 02 18 15.00 00 52  9.37  18.4  56.9 -10.3   g 0  MP  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 00 07  9.24  67.8 106.2   2.4   x 1  RM  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 00 19  6.94  43.8  82.2  16.0   z 0  RM  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 00 43 12.02  37.2  75.6 -28.4   y 0  RM  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 00 49 10.13  22.7  61.1 -15.4   v 1  RM  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 00 56  9.35  14.3  52.7 -11.4   g 1  RM  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 01 41  6.57 -30.0   8.3  -2.4   f 0  RM  PH CSJ b 0
1761 05 26 11 04 1  book1 IMG_7000b.jpg  38.4  -0.9 041009 041225 02 16 15.00 01 56  6.39 -46.1 352.3  -4.7   s 0  RM  PH CSJ b 0
1761 05 28 11 03 1  book1 IMG_7001b.jpg  11.9  -0.7 041721 041936 02 15 15.11 00 04  7.28  69.1  81.0  17.6   z 0  RM  PH CSJ b 0
1761 05 28 11 03 1  book1 IMG_7001b.jpg  11.9  -0.7 041721 041936 02 15 15.11 00 21 10.37  51.1  63.0  -9.5   v 0  RM  PH CSJ b 0
1761 05 28 11 03 1  book1 IMG_7001b.jpg  11.9  -0.7 041721 041936 02 15 15.11 00 35 11.05  38.7  50.7 -18.2   g 1  RM  PH CSJ b 0
1761 05 28 11 03 1  book1 IMG_7001b.jpg  11.9  -0.7 041721 041936 02 15 15.11 01 12  7.99  -2.7   9.2  -4.9   f 0  RM  PH CSJ b 0
1761 05 28 11 03 1  book1 IMG_7001b.jpg  11.9  -0.7 041721 041936 02 15 15.11 01 30  7.37 -19.1 352.8  -4.8   s 0  RM  PH CSJ b 0
1761 06 01 11 03 1  book1 IMG_7002b.jpg 319.0  -0.2 043308 043524 02 16 15.01 00 05  6.72  67.3  26.3  20.1   n 0  RM  PH CSJ b 0
1761 06 01 11 03 1  book1 IMG_7002b.jpg 319.0  -0.2 043308 043524 02 16 15.01 00 19  9.81  51.3  10.3  -6.2   f 0  RM  PH CSJ b 0
1761 06 01 11 03 1  book1 IMG_7002b.jpg 319.0  -0.2 043308 043524 02 16 15.01 00 32  9.51  35.8 354.8  -7.0   s 0  RM  PH CSJ b 0
1761 06 01 11 03 1  book1 IMG_7002b.jpg 319.0  -0.2 043308 043524 02 16 15.01 01 13  5.61  -8.1 310.9  12.8   h 0  RM  PH CSJ b 0
1761 06 01 11 03 1  book1 IMG_7002b.jpg 319.0  -0.2 043308 043524 02 16 15.01 01 19  5.27 -14.0 305.0  14.0   m 0  RM  PH CSJ b 0
1761 06 01 11 03 1  book1 IMG_7002b.jpg 319.0  -0.2 043308 043524 02 16 15.01 01 54  8.84 -40.3 278.6 -20.6   1 1  RM  PH CSJ b 0
1761 06 05 11 03 1  book1 IMG_7007b.jpg 266.0   0.3 044847 045104 02 17 14.92 00 17  7.40  47.9 313.9  10.9   h 0  RM  PH CSJ b 0
1761 06 05 11 03 1  book1 IMG_7007b.jpg 266.0   0.3 044847 045104 02 17 14.92 00 27  7.52  36.6 302.6   8.0   m 1  RM  PH CSJ b 0
1761 06 05 11 03 1  book1 IMG_7007b.jpg 266.0   0.3 044847 045104 02 17 14.92 00 49  2.47   9.8 275.8  46.1   3 1  RM  PH CSJ b 0
1761 06 05 11 03 1  book1 IMG_7007b.jpg 266.0   0.3 044847 045104 02 17 14.92 00 58 10.22  14.5 280.5 -18.6   2 1  RM  PH CSJ b 0
1761 06 05 11 03 1  book1 IMG_7007b.jpg 266.0   0.3 044847 045104 02 17 14.92 00 58 11.28  17.7 283.7 -27.2   1 1  RM  PH CSJ b 0
1761 06 05 11 03 1  book1 IMG_7007b.jpg 266.0   0.3 044847 045104 02 17 14.92 02 11  7.91 -65.0 201.0 -15.8   q 0  RM  PH CSJ b 0
1761 06 11 11 07 1  book1 IMG_7019.jpg  186.6   1.0 051613 051831 02 18 15.02 00 56  9.95  14.9 201.5 -15.4   v 0   Q   R CSJ b 0
1761 06 11 11 07 1  book1 IMG_7019.jpg  186.6   1.0 051613 051831 02 18 15.02 01 33  7.30 -20.3 166.3  -1.4   q 0   Q   R CSJ b 0
1761 06 11 11 07 1  book1 IMG_7019.jpg  186.6   1.0 051613 051831 02 18 15.02 01 44  7.40 -30.1 156.5  -4.0   y 0   Q   R CSJ b 0
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 00 38  5.23  24.8 198.3  23.8   3 1   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 00 47  5.97  16.6 190.1  16.5   2 1   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 00 50  5.40  13.4 186.9  20.5   1 1   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 00 52  9.82  17.8 191.3 -13.2   v 0   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 01 17  7.84  -6.2 167.4  -2.2   q 0   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 01 27  8.36 -13.8 159.7  -7.7   y 0   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 01 44  9.73 -28.5 145.0 -21.1   t 1   Q   R CSJ b _
1761 06 12 10 51 1  book1 IMG_7019b.jpg 173.5   1.1 050413 050632 02 18 15.13 02 12  4.38   NaN   NaN   NaN   w 0   Q   R CSJ b _
1761 06 15 11 07 1  book1 IMG_7021.jpg  133.6   1.5 053207 053424 02 17 14.96 00 32  8.84  33.8 167.5  -4.0   q 0  RM  PH CSJ b 0
1761 06 15 11 07 1  book1 IMG_7021.jpg  133.6   1.5 053207 053424 02 17 14.96 01 38  9.61 -23.6 110.1 -19.3   t 0  RM  PH CSJ b 0
1761 06 15 11 07 1  book1 IMG_7021.jpg  133.6   1.5 053207 053424 02 17 14.96 01 58  4.32 -55.4  78.2  18.1   C 0  RM  PH CSJ b 0
1761 06 15 11 07 1  book1 IMG_7021.jpg  133.6   1.5 053207 053424 02 17 14.96 02 00  5.13 -54.1  79.6  11.6   y 0  RM  PH CSJ b 0
1761 06 16 11 07 1  book1 IMG_7022.jpg  120.4   1.6 053602 053820 02 18 14.93 00 09 10.85  77.6 198.0 -17.8   v 0  RM  PH CSJ b 0
1761 06 16 11 07 1  book1 IMG_7022.jpg  120.4   1.6 053602 053820 02 18 14.93 01 20  9.23  -7.1 113.3 -13.4   q 0  RM  PH CSJ b 0
1761 06 16 11 07 1  book1 IMG_7022.jpg  120.4   1.6 053602 053820 02 18 14.93 01 22 10.05  -8.1 112.4 -20.2   t 0  RM  PH CSJ b 0
1761 06 16 11 07 1  book1 IMG_7022.jpg  120.4   1.6 053602 053820 02 18 14.93 01 34  5.47 -24.3  96.1  13.4   w 0  RM  PH CSJ b 0
1761 06 16 11 07 1  book1 IMG_7022.jpg  120.4   1.6 053602 053820 02 18 14.93 01 49  4.91 -40.5  79.9  15.5   C 0  RM  PH CSJ b 0
1761 06 20 11 07 1  book1 IMG_7023.jpg   67.5   2.1 055142 055359 02 17 14.95 00 25 11.20  48.9 116.4 -23.1   t 0  RM Bsp CSJ b 0
1761 06 20 11 07 1  book1 IMG_7023.jpg   67.5   2.1 055142 055359 02 17 14.95 00 33  6.84  30.8  98.2  10.4   v 0  RM Bsp CSJ b 0
1761 06 20 11 07 1  book1 IMG_7023.jpg   67.5   2.1 055142 055359 02 17 14.95 00 51  5.91  13.6  81.1  15.9   C 0  RM Bsp CSJ b 0
1761 06 20 11 07 1  book1 IMG_7023.jpg   67.5   2.1 055142 055359 02 17 14.95 00 56  5.73   9.1  76.5  16.8   y 0  RM Bsp CSJ b 0
