YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA WSA
1861 01 12 12 00 0   -.-   -.-  99.9 260.1   9.9 O 1  - 11       diercke      -.-   -.-  -.-   -.-  436
1861 01 12 12 00 0   -.-   -.-  99.9 255.8   8.5 O 1  - 11       diercke      -.-   -.-  -.-   -.-   34
1861 01 12 12 00 0   -.-   -.-  99.9 263.1   8.7 O 1  - 11       diercke      -.-   -.-  -.-   -.-   21
1861 01 25 12 00 0   -.-   -.-  99.9  80.3   8.9 O 1  - 4        diercke      -.-   -.-  -.-   -.-   40
1861 01 25 12 00 0   -.-   -.-  99.9  78.4   8.9 O 1  - 4        diercke      -.-   -.-  -.-   -.-   25
1861 01 12 12 00 0   -.-   -.-  99.9 263.0  10.5 O 1  - 11       diercke      -.-   -.-  -.-   -.-   41
1861 01 17 12 00 0   -.-   -.-  99.9 182.6  11.9 O 1  - 9        diercke      -.-   -.-  -.-   -.-  411
1861 01 12 12 00 0   -.-   -.-  99.9 257.1  10.8 O 1  - 11       diercke      -.-   -.-  -.-   -.-   41
1861 01 12 12 00 0   -.-   -.-  99.9 254.4  10.6 O 1  - 11       diercke      -.-   -.-  -.-   -.-   13
1861 01 17 12 00 0   -.-   -.-  99.9 194.8  12.2 O 1  - 9        diercke      -.-   -.-  -.-   -.-  381
1861 01 30 12 00 0   -.-   -.-  99.9  16.5  12.0 O 1  - 1        diercke      -.-   -.-  -.-   -.-   21
1861 01 17 12 00 0   -.-   -.-  99.9 184.9  12.4 O 1  - 9        diercke      -.-   -.-  -.-   -.-    8
1861 01 30 12 00 0   -.-   -.-  99.9  18.1  12.8 O 1  - 1        diercke      -.-   -.-  -.-   -.-   51
1861 01 30 12 00 0   -.-   -.-  99.9  19.5  13.0 O 1  - 1        diercke      -.-   -.-  -.-   -.-   11
1861 01 08 12 00 0   -.-   -.-  99.9 306.4  13.6 O 1  - 14       diercke      -.-   -.-  -.-   -.-   16
1861 01 08 12 00 0   -.-   -.-  99.9 303.7  13.9 O 1  - 14       diercke      -.-   -.-  -.-   -.-   33
1861 01 08 12 00 0   -.-   -.-  99.9 316.7  14.2 O 1  - 14       diercke      -.-   -.-  -.-   -.-   19
1861 01 08 12 00 0   -.-   -.-  99.9 314.6  14.1 O 1  - 14       diercke      -.-   -.-  -.-   -.-   17
1861 01 08 12 00 0   -.-   -.-  99.9 301.5  14.8 O 1  - 14       diercke      -.-   -.-  -.-   -.-   49
1861 01 08 12 00 0   -.-   -.-  99.9 312.1  15.0 O 1  - 14       diercke      -.-   -.-  -.-   -.-   37
1861 01 08 12 00 0   -.-   -.-  99.9 306.4  15.2 O 1  - 14       diercke      -.-   -.-  -.-   -.-   41
1861 01 08 12 00 0   -.-   -.-  99.9 309.8  15.5 O 1  - 14       diercke      -.-   -.-  -.-   -.-   51
1861 01 08 12 00 0   -.-   -.-  99.9 315.2  15.4 O 1  - 14       diercke      -.-   -.-  -.-   -.-   18
1861 01 08 12 00 0   -.-   -.-  99.9 304.4  15.3 O 1  - 14       diercke      -.-   -.-  -.-   -.-   22
1861 01 08 12 00 0   -.-   -.-  99.9 313.7  15.5 O 1  - 14       diercke      -.-   -.-  -.-   -.-   21
1861 01 08 12 00 0   -.-   -.-  99.9 316.8  15.5 O 1  - 14       diercke      -.-   -.-  -.-   -.-   19
1861 01 08 12 00 0   -.-   -.-  99.9 303.1  15.6 O 1  - 14       diercke      -.-   -.-  -.-   -.-   19
1861 01 08 12 00 0   -.-   -.-  99.9 318.2  16.1 O 1  - 14       diercke      -.-   -.-  -.-   -.-   11
1861 01 08 12 00 0   -.-   -.-  99.9 307.7  16.2 O 1  - 14       diercke      -.-   -.-  -.-   -.-   29
1861 01 24 12 00 0   -.-   -.-  99.9  94.7  18.1 O 1  - 3        diercke      -.-   -.-  -.-   -.-  182
1861 01 08 12 00 0   -.-   -.-  99.9 306.2  17.3 O 1  - 14       diercke      -.-   -.-  -.-   -.-   27
1861 02 23 12 00 0   -.-   -.-  99.9  54.6 -27.9 O 1  - 16       diercke      -.-   -.-  -.-   -.-   19
1861 02 23 12 00 0   -.-   -.-  99.9  52.6 -27.6 O 1  - 16       diercke      -.-   -.-  -.-   -.-   26
1861 02 17 12 00 0   -.-   -.-  99.9 135.1 -27.5 O 1  - 21       diercke      -.-   -.-  -.-   -.-   20
1861 02 17 12 00 0   -.-   -.-  99.9 140.6 -25.5 O 1  - 21       diercke      -.-   -.-  -.-   -.-  454
1861 02 17 12 00 0   -.-   -.-  99.9 137.7 -26.8 O 1  - 21       diercke      -.-   -.-  -.-   -.-   21
1861 02 23 12 00 0   -.-   -.-  99.9  55.3 -25.0 O 1  - 16       diercke      -.-   -.-  -.-   -.-  452
1861 02 17 12 00 0   -.-   -.-  99.9 136.0 -25.5 O 1  - 21       diercke      -.-   -.-  -.-   -.-   26
1861 02 17 12 00 0   -.-   -.-  99.9 134.3 -25.4 O 1  - 21       diercke      -.-   -.-  -.-   -.-   18
1861 02 23 12 00 0   -.-   -.-  99.9  51.4 -24.8 O 1  - 16       diercke      -.-   -.-  -.-   -.-   28
1861 02 17 12 00 0   -.-   -.-  99.9 137.4 -24.0 O 1  - 21       diercke      -.-   -.-  -.-   -.-   18
1861 02 23 12 00 0   -.-   -.-  99.9  53.0 -22.2 O 1  - 16       diercke      -.-   -.-  -.-   -.-   23
1861 02 18 12 00 0   -.-   -.-  99.9 117.6 -18.0 O 1  - 20       diercke      -.-   -.-  -.-   -.-  628
1861 02 02 12 00 0   -.-   -.-  99.9 335.9 -17.7 O 1  - 30       diercke      -.-   -.-  -.-   -.-   55
1861 02 02 12 00 0   -.-   -.-  99.9 341.8 -17.3 O 1  - 30       diercke      -.-   -.-  -.-   -.-   63
1861 02 18 12 00 0   -.-   -.-  99.9 114.7 -17.7 O 1  - 20       diercke      -.-   -.-  -.-   -.-   34
1861 02 02 12 00 0   -.-   -.-  99.9 338.1 -17.2 O 1  - 30       diercke      -.-   -.-  -.-   -.-   57
1861 02 18 12 00 0   -.-   -.-  99.9 110.9 -15.6 O 1  - 20       diercke      -.-   -.-  -.-   -.-  433
1861 02 04 12 00 0   -.-   -.-  99.9 301.1 -16.9 O 1  - 29       diercke      -.-   -.-  -.-   -.-   30
1861 02 18 12 00 0   -.-   -.-  99.9 113.6 -16.6 O 1  - 20       diercke      -.-   -.-  -.-   -.-   39
1861 02 04 12 00 0   -.-   -.-  99.9 305.7 -16.2 O 1  - 29       diercke      -.-   -.-  -.-   -.-   33
1861 02 04 12 00 0   -.-   -.-  99.9 297.6 -16.2 O 1  - 29       diercke      -.-   -.-  -.-   -.-   25
1861 02 18 12 00 0   -.-   -.-  99.9 114.9 -15.9 O 1  - 20       diercke      -.-   -.-  -.-   -.-   41
1861 02 04 12 00 0   -.-   -.-  99.9 302.1 -14.4 O 1  - 29       diercke      -.-   -.-  -.-   -.-   44
1861 02 04 12 00 0   -.-   -.-  99.9 299.8 -14.6 O 1  - 29       diercke      -.-   -.-  -.-   -.-   38
1861 02 04 12 00 0   -.-   -.-  99.9 304.7 -14.5 O 1  - 29       diercke      -.-   -.-  -.-   -.-   23
1861 02 04 12 00 0   -.-   -.-  99.9 307.0 -14.4 O 1  - 29       diercke      -.-   -.-  -.-   -.-   29
1861 02 09 12 00 0   -.-   -.-  99.9 232.8 -12.7 O 1  - 27       diercke      -.-   -.-  -.-   -.-   42
1861 02 09 12 00 0   -.-   -.-  99.9 234.6 -12.1 O 1  - 27       diercke      -.-   -.-  -.-   -.-   47
1861 02 16 12 00 0   -.-   -.-  99.9 143.1  -9.4 O 1  - 22       diercke      -.-   -.-  -.-   -.-   11
1861 02 08 12 00 0   -.-   -.-  99.9 250.9  -7.8 O 1  - 28       diercke      -.-   -.-  -.-   -.-  234
1861 02 16 12 00 0   -.-   -.-  99.9 147.9  -8.3 O 1  - 22       diercke      -.-   -.-  -.-   -.-   65
1861 02 16 12 00 0   -.-   -.-  99.9 144.2  -8.6 O 1  - 22       diercke      -.-   -.-  -.-   -.-   26
1861 02 08 12 00 0   -.-   -.-  99.9 256.3  -7.3 O 1  - 28       diercke      -.-   -.-  -.-   -.-  306
1861 02 08 12 00 0   -.-   -.-  99.9 253.2  -8.2 O 1  - 28       diercke      -.-   -.-  -.-   -.-   17
1861 02 08 12 00 0   -.-   -.-  99.9 248.9  -8.0 O 1  - 28       diercke      -.-   -.-  -.-   -.-   31
1861 02 16 12 00 0   -.-   -.-  99.9 142.8  -7.7 O 1  - 22       diercke      -.-   -.-  -.-   -.-   36
1861 02 16 12 00 0   -.-   -.-  99.9 145.9  -7.5 O 1  - 22       diercke      -.-   -.-  -.-   -.-   40
1861 02 16 12 00 0   -.-   -.-  99.9 148.1  -6.3 O 1  - 22       diercke      -.-   -.-  -.-   -.-   47
1861 02 08 12 00 0   -.-   -.-  99.9 252.7  -6.5 O 1  - 28       diercke      -.-   -.-  -.-   -.-   14
1861 02 19 12 00 0   -.-   -.-  99.9 107.9  -5.7 O 1  - 19       diercke      -.-   -.-  -.-   -.-   23
1861 02 08 12 00 0   -.-   -.-  99.9 254.9  -5.7 O 1  - 28       diercke      -.-   -.-  -.-   -.-    4
1861 02 16 12 00 0   -.-   -.-  99.9 143.7  -5.1 O 1  - 22       diercke      -.-   -.-  -.-   -.-   42
1861 02 16 12 00 0   -.-   -.-  99.9 141.8  -5.0 O 1  - 22       diercke      -.-   -.-  -.-   -.-   36
1861 02 19 12 00 0   -.-   -.-  99.9 106.6  -4.7 O 1  - 19       diercke      -.-   -.-  -.-   -.-   32
1861 02 19 12 00 0   -.-   -.-  99.9 107.9  -4.3 O 1  - 19       diercke      -.-   -.-  -.-   -.-   30
1861 02 17 12 00 0   -.-   -.-  99.9 129.9  -2.9 O 1  - 23       diercke      -.-   -.-  -.-   -.-   94
1861 02 16 12 00 0   -.-   -.-  99.9 144.3  -3.1 O 1  - 22       diercke      -.-   -.-  -.-   -.-   19
1861 02 03 12 00 0   -.-   -.-  99.9 327.7   4.2 O 1  - 31       diercke      -.-   -.-  -.-   -.-  117
1861 02 03 12 00 0   -.-   -.-  99.9 329.2   4.1 O 1  - 31       diercke      -.-   -.-  -.-   -.-   84
1861 02 03 12 00 0   -.-   -.-  99.9 326.1   3.5 O 1  - 31       diercke      -.-   -.-  -.-   -.-   31
1861 02 03 12 00 0   -.-   -.-  99.9 324.7   3.8 O 1  - 31       diercke      -.-   -.-  -.-   -.-   42
1861 02 22 12 00 0   -.-   -.-  99.9  60.3   3.9 O 1  - 17       diercke      -.-   -.-  -.-   -.-   52
1861 02 21 12 00 0   -.-   -.-  99.9  77.0   5.2 O 1  - 18       diercke      -.-   -.-  -.-   -.-  307
1861 02 17 12 00 0   -.-   -.-  99.9 136.0   5.8 O 1  - 24       diercke      -.-   -.-  -.-   -.-  537
1861 02 22 12 00 0   -.-   -.-  99.9  64.8   4.4 O 1  - 17       diercke      -.-   -.-  -.-   -.-   35
1861 02 21 12 00 0   -.-   -.-  99.9  75.4   4.6 O 1  - 18       diercke      -.-   -.-  -.-   -.-    6
1861 02 22 12 00 0   -.-   -.-  99.9  62.5   4.7 O 1  - 17       diercke      -.-   -.-  -.-   -.-   10
1861 02 03 12 00 0   -.-   -.-  99.9 325.4   5.0 O 1  - 31       diercke      -.-   -.-  -.-   -.-   43
1861 02 22 12 00 0   -.-   -.-  99.9  58.5   4.9 O 1  - 17       diercke      -.-   -.-  -.-   -.-   30
1861 02 03 12 00 0   -.-   -.-  99.9 322.8   5.0 O 1  - 31       diercke      -.-   -.-  -.-   -.-   43
1861 02 22 12 00 0   -.-   -.-  99.9  56.0   5.4 O 1  - 17       diercke      -.-   -.-  -.-   -.-   31
1861 02 22 12 00 0   -.-   -.-  99.9  66.8   5.5 O 1  - 17       diercke      -.-   -.-  -.-   -.-   26
1861 02 22 12 00 0   -.-   -.-  99.9  62.6   5.9 O 1  - 17       diercke      -.-   -.-  -.-   -.-   29
1861 02 22 12 00 0   -.-   -.-  99.9  60.9   5.9 O 1  - 17       diercke      -.-   -.-  -.-   -.-   20
1861 02 22 12 00 0   -.-   -.-  99.9  64.9   6.2 O 1  - 17       diercke      -.-   -.-  -.-   -.-   57
1861 02 21 12 00 0   -.-   -.-  99.9  73.1   6.8 O 1  - 18       diercke      -.-   -.-  -.-   -.-   30
1861 02 22 12 00 0   -.-   -.-  99.9  57.0   7.4 O 1  - 17       diercke      -.-   -.-  -.-   -.-   29
1861 02 14 12 00 0   -.-   -.-  99.9 171.8  14.1 O 1  - 25       diercke      -.-   -.-  -.-   -.-  716
1861 02 25 12 00 0   -.-   -.-  99.9  35.0  14.2 O 1  - 15       diercke      -.-   -.-  -.-   -.-   89
1861 02 25 12 00 0   -.-   -.-  99.9  29.5  13.4 O 1  - 15       diercke      -.-   -.-  -.-   -.-   13
1861 02 25 12 00 0   -.-   -.-  99.9  38.4  14.0 O 1  - 15       diercke      -.-   -.-  -.-   -.-   75
1861 02 25 12 00 0   -.-   -.-  99.9  23.7  13.6 O 1  - 15       diercke      -.-   -.-  -.-   -.-   25
1861 02 25 12 00 0   -.-   -.-  99.9  27.1  13.7 O 1  - 15       diercke      -.-   -.-  -.-   -.-   16
1861 02 25 12 00 0   -.-   -.-  99.9  25.5  14.1 O 1  - 15       diercke      -.-   -.-  -.-   -.-   42
1861 02 25 12 00 0   -.-   -.-  99.9  32.8  14.1 O 1  - 15       diercke      -.-   -.-  -.-   -.-   21
1861 02 25 12 00 0   -.-   -.-  99.9  28.6  14.0 O 1  - 15       diercke      -.-   -.-  -.-   -.-   16
1861 02 25 12 00 0   -.-   -.-  99.9  26.9  14.8 O 1  - 15       diercke      -.-   -.-  -.-   -.-   17
1861 02 25 12 00 0   -.-   -.-  99.9  29.6  15.4 O 1  - 15       diercke      -.-   -.-  -.-   -.-   23
1861 02 25 12 00 0   -.-   -.-  99.9  23.8  15.7 O 1  - 15       diercke      -.-   -.-  -.-   -.-   32
1861 02 25 12 00 0   -.-   -.-  99.9  36.2  17.5 O 1  - 15       diercke      -.-   -.-  -.-   -.-  807
1861 02 25 12 00 0   -.-   -.-  99.9  31.0  16.0 O 1  - 15       diercke      -.-   -.-  -.-   -.-   25
1861 02 12 12 00 0   -.-   -.-  99.9 199.5  22.9 O 1  - 26       diercke      -.-   -.-  -.-   -.-    6
1861 02 12 12 00 0   -.-   -.-  99.9 198.3  23.1 O 1  - 26       diercke      -.-   -.-  -.-   -.-   23
1861 02 12 12 00 0   -.-   -.-  99.9 191.5  23.4 O 1  - 26       diercke      -.-   -.-  -.-   -.-   27
1861 02 12 12 00 0   -.-   -.-  99.9 194.8  24.2 O 1  - 26       diercke      -.-   -.-  -.-   -.-   36
1861 02 12 12 00 0   -.-   -.-  99.9 196.9  25.6 O 1  - 26       diercke      -.-   -.-  -.-   -.-  101
1861 02 12 12 00 0   -.-   -.-  99.9 193.1  25.2 O 1  - 26       diercke      -.-   -.-  -.-   -.-   22
1861 02 12 12 00 0   -.-   -.-  99.9 192.1  25.5 O 1  - 26       diercke      -.-   -.-  -.-   -.-   24
1861 02 03 12 00 0   -.-   -.-  99.9 328.1  30.2 O 1  - 32       diercke      -.-   -.-  -.-   -.-  624
1861 02 03 12 00 0   -.-   -.-  99.9 324.2  30.4 O 1  - 32       diercke      -.-   -.-  -.-   -.-  101
1861 02 03 12 00 0   -.-   -.-  99.9 326.0  29.7 O 1  - 32       diercke      -.-   -.-  -.-   -.-   47
1861 02 03 12 00 0   -.-   -.-  99.9 326.0  31.2 O 1  - 32       diercke      -.-   -.-  -.-   -.-   15
1861 03 16 12 00 0   -.-   -.-  99.9 129.8 -25.7 O 1  - 43       diercke      -.-   -.-  -.-   -.-  398
1861 03 16 12 00 0   -.-   -.-  99.9 130.8 -27.2 O 1  - 43       diercke      -.-   -.-  -.-   -.-    9
1861 03 07 12 00 0   -.-   -.-  99.9 244.1 -22.5 O 1  - 49       diercke      -.-   -.-  -.-   -.-  509
1861 03 07 12 00 0   -.-   -.-  99.9 248.1 -22.9 O 1  - 49       diercke      -.-   -.-  -.-   -.-   39
1861 03 07 12 00 0   -.-   -.-  99.9 256.2 -22.1 O 1  - 49       diercke      -.-   -.-  -.-   -.-   54
1861 03 07 12 00 0   -.-   -.-  99.9 250.8 -21.2 O 1  - 49       diercke      -.-   -.-  -.-   -.-   90
1861 03 17 12 00 0   -.-   -.-  99.9 119.8 -20.1 O 1  - 42       diercke      -.-   -.-  -.-   -.-  363
1861 03 06 12 00 0   -.-   -.-  99.9 262.6 -21.2 O 1  - 50       diercke      -.-   -.-  -.-   -.-   51
1861 03 17 12 00 0   -.-   -.-  99.9 121.3 -21.1 O 1  - 42       diercke      -.-   -.-  -.-   -.-   34
1861 03 06 12 00 0   -.-   -.-  99.9 268.0 -17.8 O 1  - 50       diercke      -.-   -.-  -.-   -.-  582
1861 03 06 12 00 0   -.-   -.-  99.9 261.5 -18.4 O 1  - 50       diercke      -.-   -.-  -.-   -.-  114
1861 03 17 12 00 0   -.-   -.-  99.9 118.4 -18.8 O 1  - 42       diercke      -.-   -.-  -.-   -.-   22
1861 03 01 12 00 0   -.-   -.-  99.9 335.0 -17.1 O 1  - 53       diercke      -.-   -.-  -.-   -.-  145
1861 03 17 12 00 0   -.-   -.-  99.9 120.4 -18.0 O 1  - 42       diercke      -.-   -.-  -.-   -.-   15
1861 03 17 12 00 0   -.-   -.-  99.9 119.3 -17.6 O 1  - 42       diercke      -.-   -.-  -.-   -.-   11
1861 03 21 12 00 0   -.-   -.-  99.9  67.6 -13.2 O 1  - 38       diercke      -.-   -.-  -.-   -.-  687
