Sunspot positions and areas from observations by Galileo Galilei defined by Vokhmyanin, Arlt, and Zolotova (in Solar Physics 2020).

Method II: the proper orientation of the solar axis and the time of observation are defined by means of minimization of the day-to-day variability of sunspot latitudes.
On some days, the rotation angle does not match to any time between sunrise and sunset, hence the time of observation and corresponding ephemeris are filled with NaN.

Draw - Number of drawing;
Place - Location of the observer;
YYYY - Year;
MM - Month;
DD - Day;
HH - UT Hour (Time of observation defined by means of Method II);
MI- Minute (Time of observation defined by means of Method II);
G_Har - Number of sunspot group according to numeration assigned by us in the Harriot’s observations (Sunspot positions and areas from observations by Thomas Harriot defined by Vokhmyanin, Arlt, and Zolotova, Solar Physics 2020, v. 295:39; https://doi.org/10.1007/s11207-020-01604-4);
G - Arbitrary number of sunspot group;
Sp - Arbitrary number of sunspot;
BBB.BB - Heliographic latitude. Southern latitudes are negative;
LLL.LL - Heliographic longitude in the Carrington rotation frame;
B0 - Heliographic latitude of apparent disk center;
L0 - Heliographic longitude of apparent disk center;
P - Position angle;
Rot - Rotation angle of solar image in x-y plane;
q - Parallactic angle;
Alt - Altitude;
Azm - Azimuth;
Area_w - Area of the whole sunspot in millionths of the solar hemisphere (msh);
Area_u - Area of umbra in millionths of the solar hemisphere (msh);
Area_p - Area of penumbra in millionths of the solar hemisphere (msh), negative values indicate that several umbrae have a common penumbra, e.g. -103 means that the given umbra shares a penumbra with umbra No.103;
alpha - Angular distance on the surface of the Sun from the center of the disk to the area-weighted position of the object.




Draw	Place	YYYY	MM	DD	HH	MI	G_Har	G	Sp	BBB.BB	LLL.LL	B0	L0	P	Rot	q	Alt	Azm	Area_w	Area_u	Area_p	alpha	Comment
1	Villa delle Selve 	1612	2	12 	16	5	37	1	1	18.23	60.34	-6.93	59.43	-17.11	-59.57	42.46	5.26	245.25	593	NaN	NaN	25.32	
1	Villa delle Selve 	1612	2	12 	16	5	38	2	2	20.09	42.76	-6.93	59.43	-17.11	-59.57	42.46	5.26	245.25	444	NaN	NaN	31.55	
1	Villa delle Selve 	1612	2	12 	16	5	40	3	3	-15.37	41.2	-6.93	59.43	-17.11	-59.57	42.46	5.26	245.25	520	NaN	NaN	19.83	
																							
2	Villa delle Selve 	1612	2	17	14	22	41	4	4	8.23	334.67	-7.09	354.53	-18.79	-50.78	31.99	21.88	225.84	820	NaN	NaN	24.97	
																							
3	Villa delle Selve 	1612	2	23	15	0	41	4	4	4.77	322.62	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	789	NaN	NaN	49.06	
3	Villa delle Selve 	1612	2	23	15	0	42	5	5	11.44	267.26	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	648	NaN	NaN	20.22	
3	Villa delle Selve 	1612	2	23	15	0	43	6	6	4.95	243.77	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	992	NaN	NaN	33.72	
3	Villa delle Selve 	1612	2	23	15	0	43	6	7	2.06	232.92	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	962	NaN	NaN	43.17	
3	Villa delle Selve 	1612	2	23	15	0	44	7	8	-5.82	280.83	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	246	NaN	NaN	5.74	
3	Villa delle Selve 	1612	2	23	15	0	44	7	9	-7.13	269.19	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	391	NaN	NaN	5.94	
3	Villa delle Selve 	1612	2	23	15	0	45	8	10	-5.69	241.89	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	197	NaN	NaN	33.3	
3	Villa delle Selve 	1612	2	23	15	0	46	9	11	-10.4	228.94	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	631	NaN	NaN	45.75	
3	Villa delle Selve 	1612	2	23	15	0	NaN	10	12	-36.11	214.3	-7.21	275.15	-20.65	-57.8	37.15	18.25	235.47	761	NaN	NaN	62.3	
																							
NaN	Villa delle Selve 	1612	3	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1 March, at sunrise, there was a sunspot (or sunspots).
																							
NaN	Villa delle Selve 	1612	3	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2 March, at sunrise, there was not sunspot.
																							
NaN	Villa delle Selve 	1612	3	15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13 March,  there was not sunspot.
																							
4	Villa delle Selve 	1612	3	16	NaN	NaN	56	11	13	-31.99	299.93	-6.96	344.22	NaN	-84.8	NaN	NaN	NaN	845	NaN	NaN	48.03	16 March, at sunset, there was one sunspot. 
4	Villa delle Selve 	1612	3	16	NaN	NaN	56	11	14	-34.77	298.37	-6.96	344.22	NaN	-84.8	NaN	NaN	NaN	1003	NaN	NaN	50.49	
																							
5	Villa delle Selve 	1612	3	17	NaN	NaN	56	11	13	-29.99	287.09	-6.94	336.34	NaN	44	NaN	NaN	NaN	972	NaN	NaN	51.57	
5	Villa delle Selve 	1612	3	17	NaN	NaN	NaN	12	15	23.57	2.92	-6.94	336.34	NaN	44	NaN	NaN	NaN	741	NaN	NaN	40.06	
5	Villa delle Selve 	1612	3	17	NaN	NaN	54	13	16	10.68	325.54	-6.94	336.34	NaN	44	NaN	NaN	NaN	370	NaN	NaN	20.64	
5	Villa delle Selve 	1612	3	17	NaN	NaN	55	14	17	-1.78	315.63	-6.94	336.34	NaN	44	NaN	NaN	NaN	458	NaN	NaN	21.28	
																							
6	Villa delle Selve 	1612	3	18	NaN	NaN	56	11	13	-32.19	290.28	-6.91	323.16	NaN	32.6	NaN	NaN	NaN	1107	NaN	NaN	39.68	
6	Villa delle Selve 	1612	3	18	NaN	NaN	NaN	12	15	24.9	8.18	-6.91	323.16	NaN	32.6	NaN	NaN	NaN	923	NaN	NaN	54.14	
6	Villa delle Selve 	1612	3	18	NaN	NaN	54	13	16	9.62	330.09	-6.91	323.16	NaN	32.6	NaN	NaN	NaN	947	NaN	NaN	17.91	
6	Villa delle Selve 	1612	3	18	NaN	NaN	55	14	17	-1.25	319.63	-6.91	323.16	NaN	32.6	NaN	NaN	NaN	818	NaN	NaN	6.66	
																							
7	Villa delle Selve 	1612	3	20	13	20	56	11	13	-24.61	270.83	-6.81	293.38	-25.97	-52.99	27.02	39.17	218.99	662	NaN	NaN	27.92	
7	Villa delle Selve 	1612	3	20	13	20	57	15	18	27.77	242.36	-6.81	293.38	-25.97	-52.99	27.02	39.17	218.99	1118	NaN	NaN	60.15	
7	Villa delle Selve 	1612	3	20	13	20	57	15	19	30.81	239.91	-6.81	293.38	-25.97	-52.99	27.02	39.17	218.99	643	NaN	NaN	63.64	
																							
8	Villa delle Selve 	1612	3	21	NaN	NaN	56	11	13	-35.12	261.56	-6.78	283.59	NaN	54.8	NaN	NaN	NaN	441	NaN	NaN	34.83	
8	Villa delle Selve 	1612	3	21	NaN	NaN	57	15	18	35.67	252.75	-6.78	283.59	NaN	54.8	NaN	NaN	NaN	248	NaN	NaN	51.4	
8	Villa delle Selve 	1612	3	21	NaN	NaN	57	15	19	38.74	253.78	-6.78	283.59	NaN	54.8	NaN	NaN	NaN	802	NaN	NaN	53.26	
																							
9	Villa delle Selve 	1612	3	31	NaN	NaN	57	15	19	23.79	180.87	-6.21	146.19	NaN	-87.8	NaN	NaN	NaN	777	NaN	NaN	45.22	
9	Villa delle Selve 	1612	3	31	NaN	NaN	57	15	22	26.82	174.6	-6.21	146.19	NaN	-87.8	NaN	NaN	NaN	756	NaN	NaN	51.73	
9	Villa delle Selve 	1612	3	31	NaN	NaN	59	16	20	-10.07	151.62	-6.21	146.19	NaN	-87.8	NaN	NaN	NaN	663	NaN	NaN	6.62	
9	Villa delle Selve 	1612	3	31	NaN	NaN	60	17	21	-22.46	171.45	-6.21	146.19	NaN	-87.8	NaN	NaN	NaN	569	NaN	NaN	29.28	
9	Villa delle Selve 	1612	3	31	NaN	NaN	60	17	23	-16.88	187.32	-6.21	146.19	NaN	-87.8	NaN	NaN	NaN	321	NaN	NaN	29.76	
																							
10	Villa delle Selve 	1612	4	3	15	36	59	16	20	22.7	156.6	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	1055	NaN	NaN	56	Comparison of observations by Harriot and Galilei on 3 Arp 1612 suggests to us that sunspot group 16 in Galiley's report was drawn incorrectly. Most likely, this spot was in the southern hemisphere.
10	Villa delle Selve 	1612	4	3	15	36	59	16	26	20.56	148.76	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	9	NaN	NaN	48.53	
10	Villa delle Selve 	1612	4	3	15	36	59	16	27	23.5	148.79	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	400	NaN	NaN	50.02	
10	Villa delle Selve 	1612	4	3	15	36	59	16	28	26.16	151.46	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	40	NaN	NaN	53.46	
10	Villa delle Selve 	1612	4	3	15	36	60	17	21	-12.48	156.99	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	827	NaN	NaN	49.28	
10	Villa delle Selve 	1612	4	3	15	36	61	18	24	-9.15	108.71	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	1645	NaN	NaN	3.38	
10	Villa delle Selve 	1612	4	3	15	36	61	18	29	-12.85	101.86	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	56	NaN	NaN	8.76	
10	Villa delle Selve 	1612	4	3	15	36	61	18	30	-9.27	99.9	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	194	NaN	NaN	8.13	
10	Villa delle Selve 	1612	4	3	15	36	61	18	31	-9.67	101.81	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	84	NaN	NaN	6.64	
10	Villa delle Selve 	1612	4	3	15	36	61	18	32	-6.12	97.69	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	10	NaN	NaN	9.67	
10	Villa delle Selve 	1612	4	3	15	36	61	18	33	-3.1	99.94	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	291	NaN	NaN	8	
10	Villa delle Selve 	1612	4	3	15	36	61	18	34	-1.84	103.14	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	28	NaN	NaN	5.97	
10	Villa delle Selve 	1612	4	3	15	36	62	19	25	10.17	56.1	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	1085	NaN	NaN	53.61	
10	Villa delle Selve 	1612	4	3	15	36	62	19	35	13.81	44.94	-6.02	107.42	-26.9	-71.58	44.68	22.28	255.73	581	NaN	NaN	65.09	
																							
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	24	-16.16	98.77	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	923	NaN	NaN	20.96	
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	36	-11.26	95.24	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	48	NaN	NaN	15.87	
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	37	-14.01	94.37	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	101	NaN	NaN	16.2	
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	38	-12.63	93	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	97	NaN	NaN	14.38	
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	39	-14.63	89.68	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	155	NaN	NaN	12.84	
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	40	-16.93	92.03	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	204	NaN	NaN	16.06	
11	Villa delle Selve 	1612	4	5	NaN	NaN	61	18	41	-18.49	93.97	-5.87	80.14	NaN	-89.2	NaN	NaN	NaN	114	NaN	NaN	18.47	
