
Outstanding sunspot characteristics on the onset of the Maunder Minimum described by Hevelius

Original source: V.M.S. Carrasco, J.M. Vaquero, M.C. Gallego, A. Muñoz-Jaramillo, G. de Toma, P. Galaviz, R. Arlt, V. Senthamizh Pavai, F. Sánchez-Bajo, J. Villalba Álvarez, J.M. Gómez: 2019, The Astrophysical Journal.

YYYY MM DD HH MI:  Date/time
T               :  Time flag 1= time known, 0= time presumed
L0              :  central meridian longitude
B0              :  centre of disk latitude
CMD             :  central meridian distance
LLL.L           :  longitude converted to carrington longitude
BBB.B           :  latitude
M               :  method
Q               :  quality flag 1=best
SS              :  cursor size used to estimate area
GROUP           :  group name (assigned by us)
MEASURER        :  person who measured
MOD_L MOD_B SIGMA: irrelevant, only for bayesian inference of spot locations
DELTA           :  distance from disk center in degrees
UMSD            :  uncorrected umbral area in millionths of solar disk
UMSH            :  corrected umbral area in millionths of solar hemisphere


YYYY MM DD HH MI T    L0    B0   CMD LLL.L BBB.B M Q SS GROUP    MEASURER   MOD_L MOD_B SIGMA DELTA UMSD  UMSH
1643 05 23 08 10 1  21.5  -1.2 -22.4 359.1   9.7 C 1  2 5        pavai        NaN   NaN   NaN 24.8  10.2   5.6
1643 05 23 08 10 1  21.5  -1.2 -20.4   1.1  10.2 C 1  2 5        pavai        NaN   NaN   NaN 23.3  10.2   5.6
1643 05 23 08 10 1  21.5  -1.2  21.5  43.0  -1.0 C 1  4 6        pavai        NaN   NaN   NaN 21.5  41.9  22.5
1643 05 23 08 10 1  21.5  -1.2  20.2  41.7  -2.2 C 1  3 6        pavai        NaN   NaN   NaN 20.2  23.8  12.7
1643 05 23 08 10 1  21.5  -1.2  25.7  47.2  -1.9 C 1  2 6        pavai        NaN   NaN   NaN 25.7  10.2   5.7
1643 05 23 08 10 1  21.5  -1.2  25.5  47.0  -2.9 C 1  2 6        pavai        NaN   NaN   NaN 25.5  10.2   5.7
1643 05 23 08 10 1  21.5  -1.2  27.5  49.0  -2.4 C 1  2 6        pavai        NaN   NaN   NaN 27.5  10.2   5.8
1643 05 25 09 40 1  21.8  -0.9  -6.9  14.9   9.2 C 1  5 4        pavai        NaN   NaN   NaN 12.2  78.2  40.0
1643 05 25 09 40 1  21.8  -0.9  -6.0  15.8   9.7 C 1  3 4        pavai        NaN   NaN   NaN 12.2  23.8  12.2
1643 05 25 09 40 1  21.8  -0.9   6.5  28.3  11.4 C 1  4 5        pavai        NaN   NaN   NaN 13.9  41.9  21.6
1643 05 25 09 40 1  21.8  -0.9   6.5  28.3  13.4 C 1  2 5        pavai        NaN   NaN   NaN 15.7  10.2   5.3
1643 05 25 09 40 1  21.8  -0.9   8.0  29.8  13.1 C 1  2 5        pavai        NaN   NaN   NaN 16.1  10.2   5.3
1643 05 25 09 40 1  21.8  -0.9  10.9  32.7   8.6 C 1  0 5        pavai        NaN   NaN   NaN 14.4   1.1   0.6
1643 05 25 09 40 1  21.8  -0.9  11.1  32.9   9.2 C 1  0 5        pavai        NaN   NaN   NaN 15.0   1.1   0.6
1643 05 25 09 40 1  21.8  -0.9  11.1  32.9   9.4 C 1  0 5        pavai        NaN   NaN   NaN 15.1   1.1   0.6
1643 05 25 09 40 1  21.8  -0.9  11.3  33.1   9.7 C 1  0 5        pavai        NaN   NaN   NaN 15.5   1.1   0.6
1643 05 25 09 40 1  21.8  -0.9  11.6  33.4  10.0 C 1  0 5        pavai        NaN   NaN   NaN 15.9   1.1   0.6
1643 05 25 09 40 1  21.8  -0.9  12.6  34.4   8.7 C 1  5 5        pavai        NaN   NaN   NaN 15.8  78.2  40.6
1643 05 25 09 40 1  21.8  -0.9  51.1  72.9  -1.9 C 1  3 6        pavai        NaN   NaN   NaN 51.1  23.8  18.9
1643 05 26 08 12 1  21.9  -0.8   6.9  28.8   8.2 C 1  4 4        pavai        NaN   NaN   NaN 11.3  41.9  21.4
1643 05 26 08 12 1  21.9  -0.8   8.0  29.9   8.5 C 1  3 4        pavai        NaN   NaN   NaN 12.3  23.8  12.2
1643 05 26 08 12 1  21.9  -0.8  27.5  49.4   8.2 C 1  5 5        pavai        NaN   NaN   NaN 28.9  78.2  44.6
1643 05 26 08 12 1  21.9  -0.8 -65.4 316.5   0.0 C 1  2 8        pavai        NaN   NaN   NaN 65.4  10.2  12.3
1643 05 26 08 12 1  21.9  -0.8  21.1  43.0  11.2 C 1  3 7        pavai        NaN   NaN   NaN 24.2  23.8  13.0
1643 05 26 08 12 1  21.9  -0.8  28.4  50.3  11.0 C 1  2 7        pavai        NaN   NaN   NaN 30.6  10.2   5.9
1643 05 28 09 24 1  22.2  -0.6  30.7  52.9   7.9 C 1  5 4        pavai        NaN   NaN   NaN 31.8  78.2  46.0
1643 05 28 09 24 1  22.2  -0.6  48.1  70.3   8.2 C 1  5 5        pavai        NaN   NaN   NaN 48.7  78.2  59.3
1643 05 28 09 24 1  22.2  -0.6  44.6  66.8  12.2 C 1  2 7        pavai        NaN   NaN   NaN 46.1  10.2   7.4
1643 05 29 08 22 1  22.3  -0.4  46.8  69.1   6.6 C 1  3 4        pavai        NaN   NaN   NaN 47.2  23.8  17.5
1643 05 29 08 22 1  22.3  -0.4  47.5  69.8   6.5 C 1  3 4        pavai        NaN   NaN   NaN 47.9  23.8  17.8
1643 05 29 08 22 1  22.3  -0.4  48.3  70.6   6.5 C 1  2 4        pavai        NaN   NaN   NaN 48.7  10.2   7.7
1643 05 29 08 22 1  22.3  -0.4  60.1  82.4   6.4 C 1  5 5        pavai        NaN   NaN   NaN 60.4  78.2  79.1
1643 05 30 08 07 1  22.5  -0.3  63.8  86.3   5.5 C 1  4 4        pavai        NaN   NaN   NaN 64.0  41.9  47.7
1643 05 30 08 07 1  22.5  -0.3  79.3 101.8   6.2 C 1  2 5        pavai        NaN   NaN   NaN 79.4  10.2  27.7
1643 05 31 09 42 1  22.6  -0.2  73.2  95.8   5.2 C 1  4 4        pavai        NaN   NaN   NaN 73.3  41.9  72.9
1643 06 18 08 05 1  23.5   1.9 -46.1 337.4  10.4 C 1  5 9        pavai        NaN   NaN   NaN 46.5  78.0  56.7
1643 06 18 08 05 1  23.5   1.9  33.4  56.9   6.1 C 1  8 10       pavai        NaN   NaN   NaN 33.6 209.3 125.6
1643 06 18 08 05 1  23.5   1.9  30.9  54.4   8.2 C 1  4 10       pavai        NaN   NaN   NaN 31.4  41.9  24.5
1643 06 19 15 48 1  23.5   2.1 -29.8 353.7   9.8 C 1  5 9        pavai        NaN   NaN   NaN 30.6  78.0  45.3
1643 06 19 15 48 1  23.5   2.1  47.4  70.9   4.1 C 1  6 10       pavai        NaN   NaN   NaN 47.4 109.7  81.0
1643 06 19 15 48 1  23.5   2.1  44.8  68.3   4.9 C 1  2 10       pavai        NaN   NaN   NaN 44.8  10.2   7.2
1643 06 19 15 48 1  23.5   2.1  44.9  68.4   3.5 C 1  2 10       pavai        NaN   NaN   NaN 44.9  10.2   7.2
1643 06 19 15 48 1  23.5   2.1  -5.0  18.5  -8.3 C 1  5 11       pavai        NaN   NaN   NaN 11.5  78.0  39.8
1643 06 19 15 48 1  23.5   2.1  -5.8  17.7  -8.0 C 1  1 11       pavai        NaN   NaN   NaN 11.6   5.7   2.9
1643 06 19 15 48 1  23.5   2.1  -4.9  18.6  -6.7 C 1  2 11       pavai        NaN   NaN   NaN 10.1  10.2   5.2
1643 06 19 15 48 1  23.5   2.1  -3.6  19.9  -6.7 C 1  2 11       pavai        NaN   NaN   NaN  9.5  10.2   5.2
1643 06 19 15 48 1  23.5   2.1  -2.0  21.5  -6.7 C 1  2 11       pavai        NaN   NaN   NaN  9.0  10.2   5.2
1643 06 20 08 23 1  23.4   2.2 -19.8   3.6   9.2 C 1  5 9        pavai        NaN   NaN   NaN 20.9  78.0  41.7
1643 06 20 08 23 1  23.4   2.2  57.8  81.2   3.3 C 1  6 10       pavai        NaN   NaN   NaN 57.7 109.7 102.8
1643 06 20 08 23 1  23.4   2.2   5.1  28.5  -9.2 C 1  6 11       pavai        NaN   NaN   NaN 12.5 109.7  56.2
1643 06 20 08 23 1  23.4   2.2   8.7  32.1  -7.2 C 1  4 11       pavai        NaN   NaN   NaN 12.8  41.9  21.5
1643 06 20 08 23 1  23.4   2.2   6.9  30.3  -6.9 C 1  2 11       pavai        NaN   NaN   NaN 11.4  10.2   5.2
1643 06 20 08 23 1  23.4   2.2   8.5  31.9  -5.6 C 1  2 11       pavai        NaN   NaN   NaN 11.5  10.2   5.2
1643 06 21 09 43 1  23.4   2.3 -49.6 333.8  -8.4 C 1  3 12       pavai        NaN   NaN   NaN 50.6  23.8  18.7
1643 06 21 09 43 1  23.4   2.3 -47.6 335.8  -9.6 C 1  2 12       pavai        NaN   NaN   NaN 48.9  10.2   7.8
1643 06 21 09 43 1  23.4   2.3 -45.1 338.3  -8.5 C 1  3 12       pavai        NaN   NaN   NaN 46.2  23.8  17.2
1643 06 21 09 45 1  23.4   2.3  -5.1  18.3   8.3 C 1  4 9        pavai        NaN   NaN   NaN  7.9  41.9  21.1
1643 06 21 09 45 1  23.4   2.3  70.9  94.3   3.3 C 1  5 10       pavai        NaN   NaN   NaN 70.8  78.0 118.6
1643 06 21 09 45 1  23.4   2.3  18.9  42.3 -11.4 C 1  3 11       pavai        NaN   NaN   NaN 23.3  23.8  13.0
1643 06 21 09 45 1  23.4   2.3  21.4  44.8 -10.4 C 1  2 11       pavai        NaN   NaN   NaN 24.8  10.2   5.6
1643 06 21 09 45 1  23.4   2.3  25.6  49.0  -8.4 C 1  4 11       pavai        NaN   NaN   NaN 27.7  41.9  23.7
1643 06 22 07 49 1  23.4   2.4   6.5  29.9   8.3 C 1  4 9        pavai        NaN   NaN   NaN  8.8  41.9  21.2
1643 06 22 07 49 1  23.4   2.4  38.1  61.5  -9.0 C 1  4 11       pavai        NaN   NaN   NaN 39.6  41.9  27.2
1643 06 22 07 49 1  23.4   2.4  31.4  54.8 -10.9 C 1  2 11       pavai        NaN   NaN   NaN 34.0  10.2   6.1
1643 06 22 07 49 1  23.4   2.4  33.6  57.0 -10.5 C 1  2 11       pavai        NaN   NaN   NaN 35.8  10.2   6.3
1643 06 22 07 49 1  23.4   2.4 -33.6 349.8  -6.8 C 1  4 12       pavai        NaN   NaN   NaN 34.8  41.9  25.5
1643 06 22 07 49 1  23.4   2.4 -39.6 343.8  -7.7 C 1  2 12       pavai        NaN   NaN   NaN 40.8  10.2   6.7
1643 06 22 07 49 1  23.4   2.4 -38.0 345.4  -8.6 C 1  1 12       pavai        NaN   NaN   NaN 39.4   5.7   3.7
1643 06 22 07 49 1  23.4   2.4 -35.9 347.5  -8.8 C 1  1 12       pavai        NaN   NaN   NaN 37.5   5.7   3.6
1643 06 23 07 50 1  23.3   2.5  21.8  45.1   8.3 C 1  1 9        pavai        NaN   NaN   NaN 22.5   5.7   3.1
1643 06 23 07 50 1  23.3   2.5  21.4  44.7   8.0 C 1  0 9        pavai        NaN   NaN   NaN 22.0   1.1   0.6
1643 06 23 07 50 1  23.3   2.5  21.3  44.6   8.5 C 1  0 9        pavai        NaN   NaN   NaN 22.0   1.1   0.6
1643 06 23 07 50 1  23.3   2.5  52.5  75.8  -8.8 C 1  3 11       pavai        NaN   NaN   NaN 53.5  23.8  20.0
1643 06 23 07 50 1  23.3   2.5 -17.9   5.4  -6.1 C 1  4 12       pavai        NaN   NaN   NaN 19.8  41.9  22.3
1643 06 25 07 35 1  23.2   2.7   1.7  24.9  -6.4 C 1  4 12       pavai        NaN   NaN   NaN  9.3  41.9  21.2
1643 06 25 07 35 1  23.2   2.7   9.4  32.6  -5.5 C 1  4 12       pavai        NaN   NaN   NaN 12.5  41.9  21.5
1643 06 25 07 35 1  23.2   2.7  -9.6  13.6   9.3 C 1  4 13       pavai        NaN   NaN   NaN 11.6  41.9  21.4
1643 06 25 07 35 1  23.2   2.7 -12.3  10.9   9.0 C 1  2 13       pavai        NaN   NaN   NaN 13.7  10.2   5.3
1643 06 25 07 35 1  23.2   2.7 -27.2 356.0  12.9 C 1  3 14       pavai        NaN   NaN   NaN 28.8  23.8  13.6
1643 06 25 07 35 1  23.2   2.7 -23.0   0.2  12.5 C 1  3 14       pavai        NaN   NaN   NaN 24.8  23.8  13.1
1643 06 25 07 35 1  23.2   2.7 -26.6 356.6  14.1 C 1  2 14       pavai        NaN   NaN   NaN 28.6  10.2   5.8
1643 06 25 07 35 1  23.2   2.7 -24.2 359.0  14.1 C 1  2 14       pavai        NaN   NaN   NaN 26.5  10.2   5.7
1643 06 25 07 35 1  23.2   2.7 -25.7 357.5  12.0 C 1  1 14       pavai        NaN   NaN   NaN 27.1   5.7   3.2
1643 06 25 07 35 1  23.2   2.7 -24.2 359.0  12.1 C 1  1 14       pavai        NaN   NaN   NaN 25.7   5.7   3.2
1643 06 26 07 37 1  23.2   2.8  24.1  47.3  -5.3 C 1  4 12       pavai        NaN   NaN   NaN 25.4  41.9  23.2
1643 06 26 07 37 1  23.2   2.8  16.7  39.9  -6.1 C 1  3 12       pavai        NaN   NaN   NaN 18.9  23.8  12.6
1643 06 26 07 37 1  23.2   2.8  16.7  39.9  -7.9 C 1  2 12       pavai        NaN   NaN   NaN 19.8  10.2   5.4
1643 06 26 07 37 1  23.2   2.8  18.4  41.6  -7.3 C 1  2 12       pavai        NaN   NaN   NaN 21.0  10.2   5.5
1643 06 26 07 37 1  23.2   2.8  20.9  44.1  -6.6 C 1  2 12       pavai        NaN   NaN   NaN 22.9  10.2   5.5
1643 06 26 07 37 1  23.2   2.8   4.6  27.8   9.1 C 1  4 13       pavai        NaN   NaN   NaN  7.7  41.9  21.1
1643 06 26 07 37 1  23.2   2.8  -1.2  22.0  10.4 C 1  4 13       pavai        NaN   NaN   NaN  7.6  41.9  21.1
1643 06 26 07 37 1  23.2   2.8   1.3  24.5   9.6 C 1  2 13       pavai        NaN   NaN   NaN  6.9  10.2   5.1
1643 06 26 07 37 1  23.2   2.8   1.5  24.7  11.1 C 1  2 13       pavai        NaN   NaN   NaN  8.4  10.2   5.2
1643 06 26 07 37 1  23.2   2.8  -0.5  22.7  11.0 C 1  1 13       pavai        NaN   NaN   NaN  8.2   5.7   2.9
1643 06 26 07 37 1  23.2   2.8  -8.5  14.7  12.7 C 1  4 14       pavai        NaN   NaN   NaN 13.0  41.9  21.5
1643 06 26 07 37 1  23.2   2.8 -15.6   7.6  11.1 C 1  5 14       pavai        NaN   NaN   NaN 17.5  78.2  41.0
1643 06 26 07 37 1  23.2   2.8 -13.2  10.0  12.4 C 1  2 14       pavai        NaN   NaN   NaN 16.2  10.2   5.3
1643 06 26 07 37 1  23.2   2.8 -12.0  11.2  11.3 C 1  1 14       pavai        NaN   NaN   NaN 14.6   5.7   2.9
1643 06 26 07 37 1  23.2   2.8 -10.9  12.3  11.0 C 1  1 14       pavai        NaN   NaN   NaN 13.5   5.7   2.9
1643 06 28 09 50 1  23.0   3.1  48.5  71.5  -6.5 C 1  3 12       pavai        NaN   NaN   NaN 49.4  23.8  18.3
1643 06 28 09 50 1  23.0   3.1  42.2  65.2  -6.7 C 1  2 12       pavai        NaN   NaN   NaN 43.2  10.2   7.0
1643 06 28 09 50 1  23.0   3.1  32.0  55.0   8.0 C 1  2 13       pavai        NaN   NaN   NaN 32.2  10.2   6.0
1643 06 28 09 50 1  23.0   3.1  31.8  54.8   7.4 C 1  0 13       pavai        NaN   NaN   NaN 32.0   1.1   0.6
1643 06 28 09 50 1  23.0   3.1  10.6  33.6  12.0 C 1  4 14       pavai        NaN   NaN   NaN 13.8  41.9  21.6
1643 06 28 09 50 1  23.0   3.1  11.6  34.6  10.5 C 1  4 14       pavai        NaN   NaN   NaN 13.7  41.9  21.6
1643 06 28 09 50 1  23.0   3.1  19.0  42.0  12.3 C 1  5 14       pavai        NaN   NaN   NaN 20.9  78.2  41.9
1643 06 28 09 50 1  23.0   3.1  14.3  37.3  13.6 C 1  4 14       pavai        NaN   NaN   NaN 17.6  41.9  22.0
1643 06 28 09 50 1  23.0   3.1  14.6  37.6  11.6 C 1  3 14       pavai        NaN   NaN   NaN 16.8  23.8  12.4
1643 06 28 09 50 1  23.0   3.1  18.2  41.2  10.4 C 1  2 14       pavai        NaN   NaN   NaN 19.5  10.2   5.4
1643 06 29 07 50 1  22.9   3.2  61.8  84.7  -7.6 C 1  2 12       pavai        NaN   NaN   NaN 62.6  10.2  11.1
1643 06 29 07 50 1  22.9   3.2  47.0  69.9   7.8 C 1  3 13       pavai        NaN   NaN   NaN 47.0  23.8  17.4
1643 06 29 07 50 1  22.9   3.2  23.2  46.1  11.3 C 1  3 14       pavai        NaN   NaN   NaN 24.4  23.8  13.1
